K,pi0,alpha,dep,rho,fdr_mean,fdr_se,fdr_lo,fdr_hi,power_mean,power_se
2000,0.5,0.05,independent,0.0,0.007999927048055265,0.00039243536673278217,0.0,0.019896551724137932,0.6432643387233721,0.0042277286605059234
2000,0.5,0.1,independent,0.0,0.011616537618261034,0.0005231419736927274,0.0,0.02425055427930335,0.67318333494558,0.003707448416604432
2000,0.5,0.15,independent,0.0,0.015574154170314497,0.0006195858418780758,0.0,0.03289456655915265,0.6873523686408248,0.0036973207547504354
2000,0.5,0.2,independent,0.0,0.01805311920901931,0.000743857827818602,0.0,0.039818115898241586,0.6982064539893704,0.0034070093894499696
2000,0.7,0.05,independent,0.0,0.0013879683768342906,0.00021014957539738807,0.0,0.008225448138501616,0.5172485436219418,0.0038095064971933883
2000,0.7,0.1,independent,0.0,0.002629295153287434,0.00031084212357295013,0.0,0.016011764705882357,0.5647580212272616,0.002639943396358302
2000,0.7,0.15,independent,0.0,0.005031354005731153,0.0004961761953273362,0.0,0.02792602996254685,0.5794080346810587,0.00402290326726818
2000,0.7,0.2,independent,0.0,0.006911068052106838,0.0006882863623663194,0.0,0.030804455445544564,0.5984452970450674,0.00407190117022009
2000,0.9,0.05,independent,0.0,0.0018181187420677725,0.0002796115486350602,0.0,0.010752688172043012,0.5052934514453395,0.002784542003029857
2000,0.9,0.1,independent,0.0,0.0048146089205110855,0.0004921544068742484,0.0,0.022773845007451575,0.5331631310849945,0.0030937406095703536
2000,0.9,0.15,independent,0.0,0.007056483757948073,0.0005902491939906205,0.0,0.02830188679245283,0.5462384377370707,0.0030014932140064823
2000,0.9,0.2,independent,0.0,0.010650686609265008,0.0007410487954744536,0.0,0.03129519628099175,0.5616159077040221,0.003000611200117179
2000,0.95,0.05,independent,0.0,0.0026691507409277375,0.0005522565570718816,0.0,0.023284174702212144,0.4764569543438434,0.0037291283317537364
2000,0.95,0.1,independent,0.0,0.006893937840122131,0.0008676570560056834,0.0,0.038586956521739164,0.50593424590215,0.004578355099403196
2000,0.95,0.15,independent,0.0,0.009097029458245762,0.00105321296472008,0.0,0.046912802419354846,0.5246511537847158,0.004174523686265743
2000,0.95,0.2,independent,0.0,0.012408707465996293,0.0011589021625128901,0.0,0.058852941176470594,0.5387501229366954,0.004483403322376173
5000,0.5,0.05,independent,0.0,0.007265215440208228,0.0001951313951355815,0.0019177546744992158,0.01327663951318327,0.6560804656387539,0.0019335096077853853
5000,0.5,0.1,independent,0.0,0.01162288051993106,0.00031025422350759946,0.0014384336760234798,0.020731967513596718,0.6817948744425811,0.0022115067931301187
5000,0.5,0.15,independent,0.0,0.016511724571741798,0.0003903779621441878,0.0013710248997273013,0.026229342590424243,0.7008228979877889,0.0021963919449765213
5000,0.5,0.2,independent,0.0,0.020877268303284947,0.0003979400253606293,0.01085316924066924,0.03265338379819789,0.7144431220740768,0.0018757993046152257
5000,0.7,0.05,independent,0.0,0.0007588968848727109,8.86704707982162e-05,0.0,0.002706728158110335,0.5109068735417117,0.003978059063457009
5000,0.7,0.1,independent,0.0,0.00207733542957507,0.00016385503226940202,0.0,0.005878850017606005,0.5491611454705999,0.0031144611233743947
5000,0.7,0.15,independent,0.0,0.0035730486741014002,0.0003033666979503203,0.0,0.017526814655090133,0.573104061543242,0.0019066233398238952
5000,0.7,0.2,independent,0.0,0.004371610906612587,0.00024618965048741893,0.0,0.010943334251114621,0.587499741043423,0.0033267412895059516
5000,0.9,0.05,independent,0.0,0.0017897225387806936,0.00018201251816557046,0.0,0.008303150713833604,0.49769443793647966,0.0018664504478807427
5000,0.9,0.1,independent,0.0,0.003876567500824538,0.00028159491541649865,0.0,0.011922268907563028,0.5237100711809601,0.002467553149858572
5000,0.9,0.15,independent,0.0,0.006436599412313793,0.00035065168228190025,0.0,0.017696073221924076,0.5505320304274579,0.0017153877764397407
5000,0.9,0.2,independent,0.0,0.008898738510242431,0.0004301486310835523,0.0,0.021298186386119185,0.5628920238203005,0.0020277789634821413
5000,0.95,0.05,independent,0.0,0.0027203541566545642,0.0003304455521366159,0.0,0.01588602654176425,0.4755454870019406,0.0028646014182210702
5000,0.95,0.1,independent,0.0,0.004754138045418824,0.000418396800721329,0.0,0.017551691729323308,0.5075077762197246,0.00293552091417605
5000,0.95,0.15,independent,0.0,0.007756547277606812,0.0005370681140132193,0.0,0.026352339181286558,0.5233406420643427,0.0028720607926024898
5000,0.95,0.2,independent,0.0,0.011222092462012685,0.0007127352051621031,0.0,0.034049790128817495,0.5376718460359526,0.0026536344641980764
15000,0.5,0.05,independent,0.0,0.007182603092720075,0.00011661104790009293,0.004122269750472251,0.010284295097226158,0.6587467601317146,0.0007801570407731945
15000,0.5,0.1,independent,0.0,0.012028693081901465,0.00014655503833721498,0.008617018024836118,0.016585619536057725,0.6874623662195785,0.0006908560367181797
15000,0.5,0.15,independent,0.0,0.01627359798696148,0.00017944206324673975,0.011777944606500362,0.02137146270590975,0.704367596005938,0.0006489044194074361
15000,0.5,0.2,independent,0.0,0.02032754603181597,0.00019308971386656216,0.014636102350353229,0.026141991338880337,0.7167223735447288,0.0006985341952920401
15000,0.7,0.05,independent,0.0,0.0006637055338072159,3.9867599183673004e-05,0.0,0.0017968551934719093,0.5169409765017877,0.0009921411420426311
15000,0.7,0.1,independent,0.0,0.0017035609651134625,6.748075248943589e-05,0.00038953256092688794,0.0037943145042659623,0.5484229685533085,0.002903794356108706
15000,0.7,0.15,independent,0.0,0.0029007977810870706,9.332523496410888e-05,0.0007874142880779717,0.005564322628276119,0.5711502891473741,0.003046067231946465
15000,0.7,0.2,independent,0.0,0.00400430671679723,0.00011371247868742085,0.0011284517579610504,0.007490937774726929,0.5802903792418966,0.0051902407704875145
15000,0.9,0.05,independent,0.0,0.0019129723280258278,0.0001165234231085795,0.0,0.005828451198477372,0.4982688881369191,0.0010842076881959922
15000,0.9,0.1,independent,0.0,0.003908864428287032,0.00016518706927891368,0.0,0.008888285352163683,0.529200887581282,0.0010990475239056239
15000,0.9,0.15,independent,0.0,0.006036993012282731,0.000201154906396079,0.0011832233571364007,0.011739170246062663,0.5478092300695561,0.0010682076152114417
15000,0.9,0.2,independent,0.0,0.00825091059316484,0.00023419307764350103,0.002459130045845913,0.015460813666126614,0.5617183832697148,0.0010473777247540408
15000,0.95,0.05,independent,0.0,0.002341539189598216,0.00020871093642042015,0.0,0.008747638141976523,0.47515215886070505,0.001633240743371495
15000,0.95,0.1,independent,0.0,0.0044981393552545375,0.0002697721925825195,0.0,0.013427700320564095,0.5035560987194931,0.0016381773604962954
15000,0.95,0.15,independent,0.0,0.0069798961225309,0.00030370903536141095,0.0,0.015385365642203833,0.5213959032350072,0.0018427159192573634
15000,0.95,0.2,independent,0.0,0.009472368990496775,0.0003620039795892148,0.0022058823529411777,0.020836975524475523,0.5366094527707465,0.0018169456762472272
